ts,lon,lat,speed,accel_z
2022-12-14 15:52:59,10.009325025603175,53.58466702513397,0.0,-277
2022-12-14 15:52:59.040000,10.009325025603175,53.58466702513397,0.0,92
2022-12-14 15:52:59.080000,10.009325025603175,53.58466702513397,0.0,18
2022-12-14 15:52:59.120000,10.009325025603175,53.58466702513397,0.0,325
2022-12-14 15:52:59.160000,10.009325025603175,53.58466702513397,0.0,-376
2022-12-14 15:52:59.200000,10.009325025603175,53.58466702513397,0.0,-31
2022-12-14 15:52:59.240000,10.009325025603175,53.58466702513397,0.0,533
2022-12-14 15:52:59.280000,10.009325025603175,53.58466702513397,0.0,5
2022-12-14 15:52:59.320000,10.009325025603175,53.58466702513397,0.0,-142
2022-12-14 15:52:59.360000,10.009325025603175,53.58466702513397,0.0,-19
2022-12-14 15:52:59.400000,10.009325025603175,53.58466702513397,0.0,202
2022-12-14 15:52:59.440000,10.009325025603175,53.58466702513397,0.0,-68
2022-12-14 15:52:59.480000,10.009325025603175,53.58466702513397,0.0,-44
2022-12-14 15:52:59.520000,10.009325025603175,53.58466702513397,0.0,300
2022-12-14 15:52:59.560000,10.009325025603175,53.58466702513397,0.0,178
2022-12-14 15:52:59.600000,10.009325025603175,53.58466702513397,0.0,6
2022-12-14 15:52:59.640000,10.009325025603175,53.58466702513397,0.0,67
2022-12-14 15:52:59.680000,10.009325025603175,53.58466702513397,0.0,190
2022-12-14 15:52:59.720000,10.009325025603175,53.58466702513397,0.0,-351
2022-12-14 15:52:59.760000,10.009325025603175,53.58466702513397,0.0,67
2022-12-14 15:52:59.800000,10.009325025603175,53.58466702513397,0.0,239
2022-12-14 15:52:59.840000,10.009325025603175,53.58466702513397,0.0,129
2022-12-14 15:52:59.880000,10.009325025603175,53.58466702513397,0.0,-7
2022-12-14 15:52:59.920000,10.009325025603175,53.58466702513397,0.0,-93
2022-12-14 15:52:59.960000,10.009325025603175,53.58466702513397,0.0,251
2022-12-14 15:53:00,10.009564245119691,53.58480071648955,7.194,-7
2022-12-14 15:53:00.040000,10.009564245119691,53.58480071648955,7.194,-44
2022-12-14 15:53:00.080000,10.009564245119691,53.58480071648955,7.194,202
2022-12-14 15:53:00.120000,10.009564245119691,53.58480071648955,7.194,5
2022-12-14 15:53:00.160000,10.009564245119691,53.58480071648955,7.194,-19
2022-12-14 15:53:00.200000,10.009564245119691,53.58480071648955,7.194,178
2022-12-14 15:53:00.240000,10.009564245119691,53.58480071648955,7.194,361
2022-12-14 15:53:00.280000,10.009564245119691,53.58480071648955,7.194,-228
2022-12-14 15:53:00.320000,10.009564245119691,53.58480071648955,7.194,18
2022-12-14 15:53:00.360000,10.009564245119691,53.58480071648955,7.194,-302
2022-12-14 15:53:00.400000,10.009564245119691,53.58480071648955,7.194,6
2022-12-14 15:53:00.440000,10.009564245119691,53.58480071648955,7.194,104
2022-12-14 15:53:00.480000,10.009564245119691,53.58480071648955,7.194,-31
2022-12-14 15:53:00.520000,10.009564245119691,53.58480071648955,7.194,202
2022-12-14 15:53:00.560000,10.009564245119691,53.58480071648955,7.194,42
2022-12-14 15:53:00.600000,10.009564245119691,53.58480071648955,7.194,-44
2022-12-14 15:53:00.640000,10.009564245119691,53.58480071648955,7.194,-179
2022-12-14 15:53:00.680000,10.009564245119691,53.58480071648955,7.194,-44
2022-12-14 15:53:00.720000,10.009564245119691,53.58480071648955,7.194,67
